#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Auditorio

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A1          -9,000        0,000        0,000
 Rec id and loc     [m] :   32           1,650        3,000        0,100

 32       32,2287

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      58,0     64,0     70,3     70,7     65,9     59,9
   Total power     [dB] :      68,9     74,9     81,2     81,6     76,8     70,8
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K
#DATA
d	     0,0000	 0	 90,00	 90,00	  37,1	  43,1	  49,4	  49,8	  44,9	  38,7
*	    23,7657	 1	120,31	 95,02	 -12,6	  -5,6	   1,7	   2,3	  -2,5	  -8,9
*	    17,0177	 1	115,42	 95,46	  -8,6	  -1,6	   5,8	   6,4	   1,5	  -4,8
*	    19,2957	 1	111,18	 94,94	  -8,9	  -1,9	   5,5	   6,1	   1,2	  -5,1
*	    10,7801	 1	109,67	 95,93	  -4,0	   3,1	  10,4	  11,1	   6,2	  -0,0
*	    12,9563	 1	105,70	 95,28	  -3,7	   3,3	  10,7	  11,3	   6,4	   0,1
*	     5,4249	 1	102,98	 96,39	   1,2	   8,2	  15,6	  16,2	  11,4	   5,2
*	     7,2201	 1	 99,48	 95,61	   3,1	  10,1	  17,5	  18,1	  13,3	   7,0
*	    11,5659	 1	 96,71	 94,97	   0,6	   7,6	  15,0	  15,6	  10,8	   4,5
*	     1,8453	 1	 95,31	 96,82	   5,3	  12,3	  19,7	  20,3	  15,5	   9,3
*	     2,9900	 1	 92,57	 95,91	  10,9	  17,9	  25,3	  25,9	  21,1	  14,9
*	     7,8351	 1	 90,44	 95,19	   6,6	  13,6	  21,0	  21,6	  16,7	  10,5
*	     1,2517	 1	 86,76	 97,16	   4,7	  11,7	  19,1	  19,7	  14,9	   8,7
*	     2,9274	 1	 85,06	 96,13	   8,2	  15,3	  22,6	  23,2	  18,4	  12,2
*	     7,7342	 1	 83,75	 95,34	   4,7	  11,7	  19,1	  19,7	  14,9	   8,7
*	     3,2706	 1	 77,62	 97,34	   0,9	   7,9	  15,3	  15,9	  11,1	   4,8
*	     5,8348	 1	 77,15	 96,26	   1,3	   8,3	  15,7	  16,3	  11,5	   5,2
*	     6,8100	 1	 68,30	 97,33	  -3,2	   3,9	  11,2	  11,8	   7,0	   0,8
*	     9,8246	 1	 69,13	 96,25	  -3,9	   3,1	  10,5	  11,1	   6,2	  -0,0
*	    11,3476	 1	 59,29	 97,15	  -6,9	   0,2	   7,5	   8,1	   3,3	  -3,0
*	    14,5262	 1	 61,31	 96,14	  -8,0	  -1,0	   6,4	   7,0	   2,1	  -4,2
*	    16,6469	 1	 50,97	 96,82	 -10,3	  -3,2	   4,1	   4,7	  -0,1	  -6,4
s	     3,0288	 1	239,91	 90,92	  34,6	  40,2	  45,9	  44,2	  38,1	  31,6
*	     8,0853	 1	326,11	 91,31	  10,3	  16,2	  22,1	  24,5	  20,2	  13,3
*	     5,6196	 1	315,49	 91,94	  16,2	  22,2	  28,0	  30,4	  26,1	  19,3
*	     3,5889	 1	284,93	 93,34	  24,0	  29,9	  35,8	  38,2	  33,9	  27,1
*	     3,1271	 1	221,81	 93,13	  24,0	  29,9	  35,8	  38,1	  33,8	  27,0
*	     4,1925	 1	192,47	 91,67	  16,6	  22,5	  28,4	  30,7	  26,5	  19,6
*	     5,6874	 1	182,18	 91,03	  11,1	  17,0	  22,9	  25,2	  21,0	  14,1
*	     7,3725	 1	177,29	 90,72	   7,1	  13,0	  18,9	  21,3	  17,0	  10,1
*	     9,2001	 1	174,47	 90,53	   4,0	   9,9	  15,8	  18,2	  13,9	   7,0
*	    11,1552	 1	172,65	 90,42	   1,5	   7,4	  13,3	  15,6	  11,3	   4,4
*	    13,2311	 1	171,38	 90,32	  -0,7	   5,2	  11,1	  13,4	   9,1	   2,2
*	    15,4230	 1	170,44	 90,27	  -2,7	   3,2	   9,1	  11,4	   7,1	   0,3
*	    17,7265	 1	169,72	 90,22	  -4,4	   1,5	   7,3	   9,7	   5,4	  -1,5
*	    20,1370	 1	169,15	 90,18	  -6,1	  -0,2	   5,7	   8,0	   3,7	  -3,2
*	    22,6495	 1	168,69	 90,15	  -7,6	  -1,7	   4,2	   6,5	   2,2	  -4,7
*	    25,2584	 1	168,30	 90,12	  -9,0	  -3,1	   2,8	   5,1	   0,8	  -6,2
*	     4,5465	 1	 17,24	 97,47	 -11,3	  -5,3	   0,5	   2,9	  -1,4	  -8,2
s	     6,9279	 1	 85,67	 89,91	  33,6	  34,4	  26,7	  27,1	  22,2	  29,2
*	    23,5232	 1	 85,53	 64,72	   1,8	   2,5	  -5,2	  -4,8	  -9,7	  -2,9
*	    23,2687	 1	 79,93	 64,11	   1,6	   2,4	  -5,3	  -5,0	  -9,9	  -3,0
*	    18,8013	 1	 85,53	 69,60	   5,1	   5,9	  -1,8	  -1,4	  -6,3	   0,5
*	    18,6644	 1	 79,94	 69,08	   4,7	   5,5	  -2,2	  -1,8	  -6,7	   0,1
*	    14,4517	 1	 85,53	 74,80	   9,1	   9,9	   2,2	   2,6	  -2,3	   4,6
*	    14,5191	 1	 79,95	 74,41	   8,2	   9,0	   1,3	   1,7	  -3,2	   3,7
*	    10,6133	 1	 85,54	 80,27	  14,1	  14,9	   7,2	   7,5	   2,6	   9,6
*	    11,0372	 1	 79,96	 80,01	  12,1	  12,9	   5,2	   5,6	   0,7	   7,6
*	     7,7124	 1	 85,54	 85,91	  19,8	  20,6	  12,9	  13,3	   8,4	  15,4
*	     8,6759	 1	 79,97	 85,81	  15,7	  16,4	   8,7	   9,1	   4,2	  11,2
*	     7,0821	 1	 85,55	 91,62	  21,6	  22,4	  14,7	  15,0	  10,2	  17,1
*	     8,2302	 1	 79,98	 91,68	  16,5	  17,3	   9,6	   9,9	   5,1	  12,0
*	    28,2764	 1	 78,55	 59,37	  -1,3	  -0,5	  -8,2	  -7,9	 -12,8	  -6,0
*	    28,3923	 1	 84,22	 60,01	  -1,1	  -0,3	  -8,1	  -7,7	 -12,6	  -5,8
*	    33,4977	 1	 78,54	 55,15	  -3,8	  -3,0	 -10,7	 -10,4	 -15,3	  -8,5
*	    33,6721	 1	 84,21	 55,83	  -3,7	  -3,0	 -10,7	 -10,3	 -15,2	  -8,5
s	     7,3105	 1	 88,43	 89,90	  32,3	  39,3	  46,7	  47,3	  42,5	  36,2
*	    26,7787	 1	 98,00	 65,22	  -5,7	   1,3	   8,7	   9,3	   4,4	  -1,9
*	    25,3924	 1	 93,41	 64,78	  -4,9	   2,1	   9,4	  10,0	   5,2	  -1,2
*	    24,7292	 1	 88,66	 64,47	  -4,6	   2,4	   9,8	  10,3	   5,5	  -0,9
*	    22,8684	 1	 97,99	 69,20	  -3,2	   3,9	  11,2	  11,8	   7,0	   0,6
*	    21,3289	 1	 93,41	 68,82	  -2,2	   4,8	  12,2	  12,8	   7,9	   1,6
*	    20,6099	 1	 88,66	 68,56	  -1,8	   5,2	  12,6	  13,2	   8,3	   2,0
*	    19,2776	 1	 97,99	 73,42	  -0,4	   6,6	  14,0	  14,6	   9,7	   3,4
*	    17,5339	 1	 93,40	 73,11	   0,9	   7,9	  15,3	  15,9	  11,1	   4,7
*	    16,7414	 1	 88,66	 72,89	   1,4	   8,4	  15,8	  16,4	  11,6	   5,3
*	    16,1102	 1	 97,98	 77,82	   2,5	   9,6	  16,9	  17,5	  12,7	   6,4
*	    14,0815	 1	 93,40	 77,59	   4,5	  11,6	  18,9	  19,5	  14,7	   8,4
*	    13,1827	 1	 88,66	 77,43	   5,3	  12,3	  19,7	  20,3	  15,5	   9,2
*	    13,5593	 1	 97,98	 82,37	   5,6	  12,6	  20,0	  20,6	  15,7	   9,4
*	    11,1330	 1	 93,40	 82,22	   8,7	  15,8	  23,2	  23,8	  18,9	  12,7
*	    10,0666	 1	 88,66	 82,11	  10,1	  17,1	  24,5	  25,1	  20,3	  14,0
*	    11,9776	 1	 97,97	 87,00	   7,9	  14,9	  22,3	  22,9	  18,1	  11,8
*	     9,1124	 1	 93,40	 86,95	  12,8	  19,8	  27,2	  27,8	  23,0	  16,7
*	     7,8069	 1	 88,66	 86,92	  15,3	  22,3	  29,7	  30,3	  25,5	  19,2
*	    11,8034	 1	 97,96	 91,66	   8,2	  15,2	  22,6	  23,2	  18,4	  12,1
*	     8,8636	 1	 93,39	 91,71	  13,4	  20,5	  27,9	  28,5	  23,6	  17,4
*	     7,5082	 1	 88,66	 91,74	  16,2	  23,3	  30,6	  31,3	  26,4	  20,2
*	    48,0335	 1	 98,73	 49,85	 -12,9	  -6,9	  -0,8	  -0,6	  -5,3	 -11,8
*	    47,2636	 1	 95,59	 49,42	 -12,6	  -6,7	  -0,6	  -0,3	  -5,1	 -11,6
*	    46,7164	 1	 92,36	 49,07	 -12,5	  -6,5	  -0,4	  -0,1	  -4,9	 -11,4
*	    46,3965	 1	 89,07	 48,81	 -12,4	  -6,4	  -0,3	  -0,0	  -4,8	 -11,3
*	    44,7036	 1	 98,73	 51,81	 -11,7	  -5,7	   0,4	   0,6	  -4,1	 -10,6
*	    43,8983	 1	 95,59	 51,38	 -11,4	  -5,4	   0,7	   0,9	  -3,8	 -10,3
*	    43,3271	 1	 92,36	 51,04	 -11,2	  -5,2	   0,9	   1,1	  -3,6	 -10,1
*	    42,9952	 1	 89,07	 50,78	 -11,1	  -5,1	   1,0	   1,2	  -3,5	 -10,0
*	    41,4402	 1	 98,72	 53,87	 -10,4	  -4,4	   1,7	   1,9	  -2,8	  -9,3
*	    40,5962	 1	 95,58	 53,46	 -10,1	  -4,1	   2,0	   2,2	  -2,5	  -9,0
*	    39,9986	 1	 92,36	 53,12	  -9,9	  -3,9	   2,2	   2,4	  -2,3	  -8,8
*	    39,6539	 1	 89,07	 52,87	  -9,8	  -3,8	   2,3	   2,5	  -2,2	  -8,6
*	    38,2502	 1	 98,72	 56,05	  -9,1	  -3,1	   3,0	   3,2	  -1,5	  -8,0
*	    37,3632	 1	 95,58	 55,65	  -8,8	  -2,8	   3,3	   3,6	  -1,2	  -7,6
*	    36,7368	 1	 92,35	 55,32	  -8,5	  -2,5	   3,6	   3,8	  -0,9	  -7,3
*	    36,3783	 1	 89,07	 55,07	  -8,4	  -2,4	   3,7	   3,9	  -0,8	  -7,2
*	    35,1412	 1	 98,71	 58,35	  -7,7	  -1,7	   4,4	   4,6	  -0,1	  -6,6
*	    34,2064	 1	 95,58	 57,96	  -7,3	  -1,4	   4,8	   5,0	   0,3	  -6,1
*	    33,5479	 1	 92,35	 57,64	  -7,1	  -1,1	   5,0	   5,3	   0,5	  -5,9
*	    33,1746	 1	 89,07	 57,41	  -6,9	  -0,9	   5,2	   5,4	   0,7	  -5,7
*	    32,1223	 1	 98,71	 60,76	  -6,3	  -0,3	   5,8	   6,0	   1,3	  -5,1
*	    31,1336	 1	 95,58	 60,39	  -5,8	   0,1	   6,3	   6,5	   1,8	  -4,6
*	    30,4389	 1	 92,35	 60,09	  -5,5	   0,5	   6,6	   6,8	   2,1	  -4,3
*	    30,0495	 1	 89,07	 59,86	  -5,4	   0,6	   6,7	   7,0	   2,2	  -4,1
*	     7,9729	 1	 31,49	 97,41	 -11,9	  -6,0	  -0,1	   2,3	  -2,0	  -8,9
*	     8,0496	 1	 38,67	 98,01	 -10,7	  -4,8	   1,1	   3,4	  -0,8	  -7,7
*	    11,8378	 1	303,12	 87,31	  11,0	  16,9	  22,8	  25,1	  20,8	  14,0
*	     9,9043	 1	288,61	 86,57	  14,2	  20,1	  26,0	  28,3	  24,0	  17,2
*	     8,5694	 1	266,81	 85,89	  16,5	  22,5	  28,3	  30,7	  26,4	  19,5
*	     8,1222	 1	240,87	 85,83	  16,7	  22,6	  28,5	  30,8	  26,5	  19,7
*	     8,5595	 1	219,31	 86,43	  14,6	  20,5	  26,4	  28,7	  24,4	  17,6
*	     9,5958	 1	205,03	 87,11	  11,7	  17,6	  23,5	  25,9	  21,6	  14,7
*	    10,9933	 1	195,94	 87,64	   8,9	  14,9	  20,7	  23,1	  18,8	  11,9
*	    12,6296	 1	189,92	 88,03	   6,4	  12,4	  18,2	  20,6	  16,3	   9,4
*	    14,4456	 1	185,74	 88,31	   4,2	  10,2	  16,0	  18,4	  14,1	   7,2
*	    16,4113	 1	182,69	 88,52	   2,3	   8,2	  14,1	  16,4	  12,1	   5,2
*	    18,5090	 1	180,37	 88,69	   0,5	   6,4	  12,3	  14,6	  10,3	   3,4
*	    20,7273	 1	178,56	 88,81	  -1,2	   4,7	  10,6	  13,0	   8,6	   1,7
*	    23,0574	 1	177,11	 88,91	  -2,7	   3,2	   9,1	  11,4	   7,1	   0,2
*	    25,4920	 1	175,92	 89,00	  -4,1	   1,8	   7,7	  10,0	   5,7	  -1,3
*	    28,0244	 1	174,93	 89,07	  -5,5	   0,4	   6,3	   8,6	   4,3	  -2,7
*	     8,2629	 1	 21,63	 96,38	 -13,8	  -7,9	  -2,0	   0,3	  -4,0	 -10,8
*	     8,4219	 1	 44,03	 98,35	  -9,8	  -3,9	   2,0	   4,3	   0,0	  -6,8
*	     9,0607	 1	 48,07	 98,58	  -9,1	  -3,2	   2,7	   5,0	   0,7	  -6,1
*	    13,7377	 1	 65,23	 95,90	   2,0	   9,1	  16,4	  17,0	  12,2	   5,9
*	    11,9657	 1	 70,40	 95,71	   4,3	  11,4	  18,8	  19,4	  14,5	   8,2
*	    10,6992	 1	 75,28	 95,50	   6,9	  13,9	  21,3	  21,9	  17,1	  10,8
*	    13,1686	 1	 65,21	 90,46	   2,5	   9,5	  16,9	  17,5	  12,6	   6,3
*	    11,3129	 1	 70,39	 90,42	   5,0	  12,0	  19,4	  20,0	  15,1	   8,9
*	     9,9255	 1	 75,27	 90,38	   7,8	  14,9	  22,3	  22,9	  18,0	  11,8
*	    13,5415	 1	 65,19	 85,02	   2,2	   9,2	  16,6	  17,2	  12,3	   6,0
*	    11,7497	 1	 70,37	 85,11	   4,5	  11,6	  18,9	  19,5	  14,7	   8,4
*	    10,4549	 1	 75,25	 85,24	   7,2	  14,2	  21,6	  22,2	  17,3	  11,1
*	    14,8173	 1	 65,17	 79,64	   1,2	   8,2	  15,6	  16,2	  11,4	   5,1
*	    13,2066	 1	 70,35	 79,88	   3,2	  10,2	  17,6	  18,2	  13,4	   7,1
*	    12,1542	 1	 75,24	 80,17	   5,2	  12,2	  19,6	  20,2	  15,4	   9,1
*	    16,8842	 1	 65,14	 74,44	  -0,3	   6,8	  14,1	  14,7	   9,9	   3,6
*	    15,5039	 1	 70,34	 74,80	   1,3	   8,3	  15,7	  16,3	  11,5	   5,2
*	    14,7229	 1	 75,23	 75,24	   2,7	   9,8	  17,1	  17,7	  12,9	   6,6
*	    19,6059	 1	 65,12	 69,49	  -2,0	   5,0	  12,4	  13,0	   8,2	   1,8
*	    18,4513	 1	 70,32	 69,94	  -0,8	   6,2	  13,6	  14,2	   9,3	   3,0
*	    17,9051	 1	 75,22	 70,52	   0,1	   7,2	  14,5	  15,1	  10,3	   4,0
*	    22,8559	 1	 65,10	 64,82	  -3,8	   3,2	  10,5	  11,1	   6,3	  -0,1
*	    21,8980	 1	 70,30	 65,37	  -3,0	   4,1	  11,4	  12,0	   7,2	   0,8
*	    21,5352	 1	 75,21	 66,05	  -2,3	   4,7	  12,1	  12,7	   7,8	   1,5
*	    26,5305	 1	 65,08	 60,48	  -5,8	   1,3	   8,6	   9,2	   4,4	  -2,0
*	    25,7348	 1	 70,29	 61,09	  -5,1	   1,9	   9,3	   9,9	   5,0	  -1,3
*	    25,5093	 1	 75,20	 61,87	  -4,7	   2,4	   9,7	  10,3	   5,5	  -0,9
*	    45,5733	 1	 73,93	 46,71	 -11,2	  -5,2	   0,9	   1,1	  -3,6	 -10,1
*	    45,5661	 1	 70,51	 46,08	 -11,2	  -5,3	   0,9	   1,1	  -3,7	 -10,2
*	    45,7706	 1	 66,94	 45,54	 -11,4	  -5,4	   0,7	   1,0	  -3,8	 -10,3
*	    46,1826	 1	 63,26	 45,11	 -11,5	  -5,6	   0,5	   0,8	  -4,0	 -10,5
*	    42,1970	 1	 73,94	 48,70	  -9,9	  -4,0	   2,1	   2,4	  -2,4	  -8,8
*	    42,2067	 1	 70,52	 48,08	 -10,0	  -4,0	   2,1	   2,3	  -2,4	  -8,9
*	    42,4368	 1	 66,96	 47,54	 -10,2	  -4,2	   1,9	   2,2	  -2,6	  -9,1
*	    42,8822	 1	 63,27	 47,12	 -10,4	  -4,4	   1,7	   1,9	  -2,8	  -9,3
*	    38,8900	 1	 73,95	 50,82	  -8,7	  -2,7	   3,4	   3,7	  -1,1	  -7,5
*	    38,9206	 1	 70,53	 50,20	  -8,8	  -2,8	   3,3	   3,6	  -1,2	  -7,6
*	    39,1808	 1	 66,97	 49,67	  -8,9	  -3,0	   3,1	   3,4	  -1,4	  -7,8
*	    39,6642	 1	 63,29	 49,25	  -9,2	  -3,2	   2,9	   3,1	  -1,6	  -8,1
*	    35,6606	 1	 73,96	 53,06	  -7,3	  -1,4	   4,7	   5,0	   0,3	  -6,2
*	    35,7171	 1	 70,54	 52,46	  -7,5	  -1,5	   4,6	   4,9	   0,1	  -6,3
*	    36,0126	 1	 66,98	 51,94	  -7,7	  -1,7	   4,4	   4,6	  -0,1	  -6,5
*	    36,5394	 1	 63,30	 51,53	  -8,0	  -2,0	   4,1	   4,3	  -0,4	  -6,8
